Date,Close,Open,High,Low,Volume,Change %
2019-05-14,11222.05,11151.65,11294.75,11108.3,398120000.0,0.66%
2019-05-15,11157.0,11271.7,11286.8,11136.95,414170000.0,-0.58%
2019-05-16,11257.1,11180.35,11281.55,11143.35,350740000.0,0.90%
2019-05-17,11407.15,11261.9,11426.15,11259.85,412110000.0,1.33%
2019-05-20,11828.25,11651.9,11845.2,11591.7,452100000.0,3.69%
2019-05-21,11709.1,11863.65,11883.55,11682.8,381040000.0,-1.01%
2019-05-22,11737.9,11727.95,11784.8,11682.4,355870000.0,0.25%
2019-05-23,11657.05,11901.3,12041.15,11614.5,569030000.0,-0.69%
2019-05-24,11844.1,11748.0,11859.0,11658.1,374640000.0,1.60%
2019-05-27,11924.75,11855.5,11957.15,11812.4,348360000.0,0.68%
2019-05-28,11928.75,11958.35,11958.55,11864.9,598310000.0,0.03%
2019-05-29,11861.1,11905.8,11931.9,11836.8,318070000.0,-0.57%
2019-05-30,11945.9,11865.3,11968.55,11859.4,421200000.0,0.71%
2019-05-31,11922.8,11999.8,12039.25,11829.45,438880000.0,-0.19%
2019-06-03,12088.55,11953.75,12103.05,11920.1,315300000.0,1.39%
2019-06-04,12021.65,12052.65,12095.2,12005.85,289220000.0,-0.55%
2019-06-06,11843.75,12039.8,12039.8,11830.25,415210000.0,-1.48%
2019-06-07,11870.65,11865.2,11897.5,11769.5,302460000.0,0.23%
2019-06-10,11922.7,11934.9,11975.05,11871.75,303330000.0,0.44%
2019-06-11,11965.6,11959.85,12000.35,11904.35,332180000.0,0.36%
2019-06-12,11906.2,11962.45,11962.45,11866.35,283720000.0,-0.50%
2019-06-13,11914.05,11873.9,11931.35,11817.05,447900000.0,0.07%
2019-06-14,11823.3,11910.1,11911.85,11797.7,390300000.0,-0.76%
2019-06-17,11672.15,11844.0,11844.05,11657.75,295530000.0,-1.28%
2019-06-18,11691.5,11677.05,11727.2,11641.15,365530000.0,0.17%
2019-06-19,11691.45,11744.45,11802.5,11625.1,446930000.0,0.00%
2019-06-20,11831.75,11653.65,11843.5,11635.05,442020000.0,1.20%
2019-06-21,11724.1,11827.6,11827.95,11705.1,468430000.0,-0.91%
2019-06-24,11699.65,11725.8,11754.0,11670.2,277620000.0,-0.21%
2019-06-25,11796.45,11681.0,11814.4,11651.0,300480000.0,0.83%
2019-06-26,11847.55,11768.15,11871.85,11757.55,327880000.0,0.43%
2019-06-27,11841.55,11860.85,11911.15,11821.05,480170000.0,-0.05%
2019-06-28,11788.85,11861.15,11871.7,11775.5,303890000.0,-0.45%
2019-07-01,11865.6,11839.9,11884.65,11830.8,278420000.0,0.65%
2019-07-02,11910.3,11890.3,11917.45,11814.7,363200000.0,0.38%
2019-07-03,11916.75,11932.15,11945.2,11887.05,340530000.0,0.05%
2019-07-04,11946.75,11928.8,11969.25,11923.65,333600000.0,0.25%
2019-07-05,11811.15,11964.75,11981.75,11797.9,530720000.0,-1.14%
2019-07-08,11558.6,11770.4,11771.9,11523.3,464030000.0,-2.14%
2019-07-09,11555.9,11531.6,11582.55,11461.0,442520000.0,-0.02%
2019-07-10,11498.9,11536.15,11593.7,11475.65,337570000.0,-0.49%
2019-07-11,11582.9,11561.45,11599.0,11519.5,317260000.0,0.73%
2019-07-12,11552.5,11601.15,11639.55,11538.6,359420000.0,-0.26%
2019-07-15,11588.35,11614.75,11618.4,11532.3,368790000.0,0.31%
2019-07-16,11662.6,11596.65,11670.05,11573.95,480160000.0,0.64%
2019-07-17,11687.5,11670.75,11706.65,11651.15,464830000.0,0.21%
2019-07-18,11596.9,11675.6,11677.15,11582.4,498260000.0,-0.78%
2019-07-19,11419.25,11627.95,11640.35,11399.3,446050000.0,-1.53%
2019-07-22,11346.2,11392.85,11398.15,11301.25,516039999.99999994,-0.64%
2019-07-23,11331.05,11372.25,11398.15,11302.8,458930000.0,-0.13%
2019-07-24,11271.3,11322.45,11359.75,11229.8,413200000.0,-0.53%
2019-07-25,11252.15,11290.4,11361.4,11239.35,553680000.0,-0.17%
2019-07-26,11284.3,11247.45,11307.6,11210.05,522669999.99999994,0.29%
2019-07-29,11189.2,11307.5,11310.95,11152.4,482860000.0,-0.84%
2019-07-30,11085.4,11213.7,11267.45,11072.65,479060000.0,-0.93%
2019-07-31,11118.0,11034.05,11145.3,10999.4,536690000.00000006,0.29%
2019-08-01,10980.0,11060.2,11076.75,10881.0,499920000.0,-1.24%
2019-08-02,10997.35,10930.3,11080.15,10848.95,547420000.0,0.16%
2019-08-05,10862.6,10895.8,10895.8,10782.6,506560000.0,-1.23%
2019-08-06,10948.25,10815.4,11018.55,10813.8,517890000.0,0.79%
2019-08-07,10855.5,10958.1,10975.65,10835.9,548470000.0,-0.85%
2019-08-08,11032.45,10899.2,11058.05,10842.95,482470000.0,1.63%
2019-08-09,11109.65,11087.9,11181.45,11062.8,538060000.0,0.70%
2019-08-13,10925.85,11139.4,11145.9,10901.6,624640000.0,-1.65%
2019-08-14,11029.4,11003.25,11078.15,10935.6,511540000.0,0.95%
2019-08-16,11047.8,11043.65,11068.65,10924.3,470910000.0,0.17%
2019-08-19,11053.9,11094.8,11146.9,11037.85,369490000.0,0.06%
2019-08-20,11017.0,11063.9,11076.3,10985.3,444720000.0,-0.33%
2019-08-21,10918.7,11018.15,11034.2,10906.65,557870000.0,-0.89%
2019-08-22,10741.35,10905.3,10908.25,10718.3,668190000.0,-1.62%
2019-08-23,10829.35,10699.6,10862.55,10637.15,667080000.0,0.82%
2019-08-26,11057.85,11000.3,11070.3,10756.55,684140000.0,2.11%
